CaseID,Description,Resource Allocation Strategy,Throughput Maximization Outcome,Load Balancing Outcome,Optimization Label,idx
00001,Suburban area with consistent low usage except for weekends.,School-Centric Allocation,Medium,Unbalanced,UrbanHighRiseOptimization,
00002,Rural area with growing telehealth services demand.,Fixed Bandwidth Allocation,Medium,Balanced,MixedUseOptimization,
00003,A major hospital with critical telemedicine applications.,Mobility Optimization,Very High,Unbalanced,TrafficAwareOptimization,
00004,Downtown area with constant heavy traffic and mixed commercial and residential use.,Adaptive Resource Allocation with Predictive Analytics,Medium,Balanced,EventDrivenOptimization,
00005,Tourist destination with seasonal usage peaks.,Adaptive Resource Allocation with Predictive Analytics,High,Balanced,TourismOptimization,
00006,"City center with a mix of retail, office spaces, and entertainment venues with peak usage times.",SmartCity-Priority Allocation,Low,Unbalanced,RuralOptimization,
00007,Industrial zone with numerous sensors and real-time control systems.,Transit-Priority Allocation,Medium,Balanced,GeographicalMappingOptimization,
00008,A downtown area with high-rise buildings causing signal reflection.,Geographical Mapping,Medium,Balanced,EventDrivenOptimization,
00009,Industrial zone with numerous sensors and real-time control systems.,Adaptive Resource Allocation with Student Occupancy Tracking,High,Balanced,MixedUseOptimization,
00010,Industrial area with factories and a residential zone nearby.,Service-based Allocation,High,Balanced,UrbanHighRiseOptimization,
00011,Financial district with consistent high traffic during work hours.,Priority Allocation for Industry,Medium,Unbalanced,MixedUseOptimization,
00012,Small town with seasonal tourist traffic.,Event-driven Allocation,High,Balanced,TrafficAwareOptimization,
00013,Suburban area with a mix of residential homes and small businesses.,Dynamic Spectrum Allocation with User Preference Learning,Medium,Balanced,ServicePriorityOptimization,
00014,Industrial zone with regular heavy usage in mornings.,Dynamic Spectrum Allocation,High,Balanced,EducationFacilitationOptimization,
00015,Healthcare facility with critical patient monitoring systems.,Event-based Dynamic Allocation,High,Balanced,CoastalTourismOptimization,
00016,Urban area with high user density and varied usage patterns.,Priority-based Allocation with Sensor Data Analysis,Medium,Unbalanced,SeasonalTouristOptimization,
00017,Residential area with sporadic high demand during weekends.,Priority-based Allocation with Real-time Traffic Analysis,Low,Unbalanced,TimeSchedulingOptimization,
00018,Educational campus with uniform demand across classrooms and study areas.,Community-Centric Allocation,High,Balanced,CoastalTourismOptimization,
00019,Cultural center with recurring events and peak audience attendance.,Service-based Allocation,High,Unbalanced,TrafficAwareOptimization,
00020,Urban district with high-rise buildings and dense usage patterns with multiple access points.,Service-based Allocation,Medium,Unbalanced,InfrastructureDevelopmentOptimization,
00021,Transportation hub with multiple connectivity demands from vehicles and pedestrians.,Adaptive Resource Allocation with Student Occupancy Tracking,Medium,Balanced,FlexibleResourceOptimization,
00022,Rural area with low density and low usage.,Priority-based Allocation,High,Balanced,RuralOptimization,
00023,A university campus with diverse connectivity needs for classrooms and dormitories.,Static Spectrum Allocation,Medium,Unbalanced,StaticSpectrumOptimization,
00024,Countryside with intermittent usage.,Minimal Bandwidth Allocation,Low,Balanced,SeasonalTouristOptimization,
00025,Downtown area with constant heavy traffic and mixed commercial and residential use.,Fixed Bandwidth Allocation,High,Unbalanced,InfrastructureDevelopmentOptimization,
00026,High-rise residential area with consistent peak times.,Community-Centric Allocation,Low,Unbalanced,DynamicBandwidthOptimization,
00027,Healthcare facility with critical patient monitoring systems.,Healthcare-Priority Allocation,High,Balanced,EssentialServicesOptimization,
00028,Urban center with consistent traffic patterns.,Static Spectrum Allocation,Low,Balanced,RuralTelehealthOptimization,
00029,Shopping mall with peak shopping hours and e-commerce logistics.,Green Space Optimization,Medium,Balanced,RealTimeOptimization,
00030,Region with rural educational institutions.,Temporal Dynamic Allocation,High,Unbalanced,RealTimeOptimization,
00031,Waterfront area with tourist activities and a large marina.,Adaptive Resource Allocation with Predictive Analytics,Low,Balanced,EducationFacilitationOptimization,
00032,Entertainment district with high-density event spaces.,Priority-based Real-time Allocation,Very High,Unbalanced,RuralTelehealthOptimization,
00033,Waterfront area with tourist attractions and commercial activities.,Priority Allocation for Industry,Medium,Unbalanced,DynamicSpectrumOptimization,
00034,Transportation hub with multiple connectivity demands from vehicles and pedestrians.,Service-based Allocation,Low,Unbalanced,InfrastructureDevelopmentOptimization,
00035,Commercial area with steady demand throughout the day.,Static Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,
00036,Mixed residential and commercial zone with scheduled business hours.,Static Spectrum Allocation,Medium,Balanced,CommunityCentricOptimization,
00037,A smart city with integrated IoT and connected vehicles.,MixedUseOptimization,Medium,Unbalanced,RuralTelehealthOptimization,
00038,Cultural center with recurring events and peak audience attendance.,Dynamic Bandwidth Allocation,Low,Unbalanced,TopographicalChallengesOptimization,
00039,Healthcare facility with critical patient monitoring systems.,Dynamic Spectrum Allocation with User Preference Learning,Very High,Balanced,AgriculturalAreaOptimization,
00040,Regional center with sparse connectivity infrastructure.,Transit-Priority Allocation,Medium,Unbalanced,DynamicBandwidthOptimization,
00041,Commercial area with consistent traffic throughout the day.,Temporal Dynamic Allocation,Very High,Unbalanced,DynamicBandwidthOptimization,
00042,Region with rural educational institutions.,Low Priority Allocation,High,Balanced,CoastalTourismOptimization,
00043,Mixed-use area with varying high-demand sectors.,Adaptive Resource Allocation,Very High,Unbalanced,RuralOptimization,
00044,Regional center with sparse connectivity infrastructure.,Dynamic Bandwidth Allocation,Medium,Balanced,AgriculturalAreaOptimization,
00045,A city with frequent public events leading to variable network demand.,Adaptive Resource Allocation,Medium,Balanced,TimeSchedulingOptimization,
00046,A major hospital with critical telemedicine applications.,Dynamic Spectrum Allocation with Emergency Priority,High,Balanced,StaticSpectrumOptimization,
00047,A smart city with integrated IoT and connected vehicles.,Dynamic Bandwidth Allocation,Medium,Unbalanced,StaticSpectrumOptimization,
00048,Countryside with intermittent usage.,Temporal Dynamic Allocation,High,Balanced,TimeSchedulingOptimization,
00049,Disaster-affected area with emergency communication needs.,Dynamic Bandwidth Allocation,Medium,Balanced,MixedUseOptimization,
00050,Industrial zone with numerous sensors and real-time control systems.,Tourism-Centric Allocation,High,Balanced,PredictiveOptimization,
00051,Low-population rural area with essential services.,Emergency-Priority Allocation,Very High,Balanced,RealTimeOptimization,
00052,Commercial area with steady demand throughout the day.,Healthcare-Priority Allocation,High,Unbalanced,UrbanHighRiseOptimization,
00053,Area with high-density retail zones and adjacent entertainment venues.,Transit-Priority Allocation,Medium,Unbalanced,EventDrivenOptimization,
00054,"Mixed-use urban zone combining residential, commercial, and entertainment spaces.",Mobility Optimization,Medium,Unbalanced,AgriculturalAreaOptimization,
00055,Financial district with numerous high-value transactions.,Transit-Priority Allocation,Low,Balanced,SegmentedSectorOptimization,
00056,Healthcare facility with non-stop 24/7 demand.,Area Expansion Strategy,Low,Balanced,EventDrivenOptimization,
00057,Historic city center with narrow streets and older buildings.,Temporal Dynamic Allocation,Low,Unbalanced,RuralOptimization,
00058,Small town with low population but hosting a major sports event.,Segmented Resource Allocation,Very High,Unbalanced,MixedUseOptimization,
00059,Residential area with sports facilities and local government buildings.,Minimal Bandwidth Allocation,Low,Balanced,EducationFacilitationOptimization,
00060,Cultural center with recurring events and peak audience attendance.,Adaptive Resource Allocation,High,Balanced,IndustryPriorityOptimization,
00061,Mixed-use area with varying high-demand sectors.,Minimum Requirement Allocation,Very High,Balanced,MixedUseOptimization,
00062,Smart city infrastructure with IoT sensors.,Event-based Dynamic Allocation,High,Unbalanced,TimeSchedulingOptimization,
00063,Seasonal agricultural region with periodic high demand for connectivity.,Military-Priority Allocation,High,Unbalanced,DynamicBandwidthOptimization,
00064,Mixed residential and commercial area with nightlife activities affecting network load.,Priority-based Allocation with Machine Learning Prediction,Medium,Unbalanced,FlexibleResourceOptimization,
00065,Entertainment district with high-density event spaces.,Emergency-Priority Allocation,Low,Balanced,DynamicSpectrumOptimization,
00066,Historic city center with narrow streets and older buildings.,Flexible Allocation,Very High,Unbalanced,EssentialServicesOptimization,
00067,Waterfront area with tourist activities and a large marina.,Transit-Priority Allocation,Medium,Unbalanced,AgriculturalAreaOptimization,
00068,A tech park with a high concentration of IoT devices.,Adaptive Resource Allocation with Student Occupancy Tracking,Very High,Unbalanced,TrafficAwareOptimization,
00069,Financial district with numerous high-value transactions.,Time-based Allocation,Medium,Unbalanced,EssentialServicesOptimization,
00070,Heavy industrial zone with critical IoT devices.,Geographical Mapping,High,Balanced,TopographicalChallengesOptimization,
00071,Educational campus with uniform demand across classrooms and study areas.,Emergency-Priority Allocation,Very High,Unbalanced,DynamicBandwidthOptimization,
00072,Urban area with high user density and varied usage patterns.,Area Expansion Strategy,High,Balanced,GreenSpaceOptimization,
00073,Educational campus with uniform demand across classrooms and study areas.,School-Centric Allocation,Medium,Unbalanced,SegmentedSectorOptimization,
